tag,x,y,direction
blue,-7.0,-20.0,0
blue,-5.0,-16.0,0
blue,-5.0,-12.0,0
blue,-5.0,-8.0,0
blue,-7.0,-4.0,0
blue,-6.0,-2.0,0
blue,-14.0,1.0,0
blue,-14.0,3.0,0
blue,-22.0,6.0,0
blue,-22.0,8.0,0
blue,-30.0,11.0,0
blue,-34.0,13.0,0
blue,-33.0,15.0,0
blue,-36.0,18.0,0
blue,-44.0,26.0,0
blue,-45.0,30.0,0
yellow,-36.0,28.0,0
yellow,-35.0,30.0,0
yellow,-35.0,34.0,0
yellow,-35.0,38.0,0
yellow,-34.0,42.0,0
yellow,-32.0,46.0,0
yellow,-31.0,47.0,0
yellow,-29.0,49.0,0
yellow,-27.0,48.0,0
yellow,-23.0,49.0,0
yellow,-19.0,49.0,0
yellow,-15.0,48.0,0
yellow,-12.0,45.0,0
yellow,-8.0,42.0,0
yellow,-5.0,39.0,0
yellow,-1.0,36.0,0
yellow,3.0,33.0,0
yellow,6.0,30.0,0
yellow,10.0,27.0,0
yellow,13.0,24.0,0
yellow,17.0,22.0,0
yellow,25.0,19.0,0
yellow,29.0,19.0,0
yellow,33.0,20.0,0
yellow,42.0,26.0,0
yellow,45.0,29.0,0
yellow,47.0,33.0,0
yellow,49.0,37.0,0
yellow,49.0,39.0,0
yellow,51.0,41.0,0
yellow,53.0,41.0,0
yellow,57.0,41.0,0
yellow,61.0,41.0,0
yellow,65.0,41.0,0
yellow,69.0,40.0,0
yellow,73.0,40.0,0
yellow,77.0,40.0,0
yellow,81.0,39.0,0
yellow,85.0,38.0,0
yellow,90.0,36.0,0
yellow,92.0,34.0,0
yellow,91.0,32.0,0
yellow,92.0,28.0,0
yellow,92.0,24.0,0
yellow,91.0,22.0,0
yellow,89.0,17.0,0
yellow,87.0,11.0,0
yellow,85.0,6.0,0
yellow,83.0,1.0,0
yellow,81.0,-4.0,0
yellow,80.0,-7.0,0
yellow,78.0,-12.0,0
yellow,76.0,-17.0,0
yellow,73.0,-24.0,0
yellow,73.0,-26.0,0
yellow,69.0,-27.0,0
yellow,65.0,-28.0,0
yellow,61.0,-28.0,0
yellow,57.0,-28.0,0
yellow,53.0,-27.0,0
yellow,49.0,-27.0,0
yellow,45.0,-27.0,0
yellow,41.0,-27.0,0
yellow,37.0,-27.0,0
yellow,36.0,-29.0,0
yellow,29.0,-26.0,0
yellow,25.0,-26.0,0
yellow,21.0,-26.0,0
yellow,17.0,-27.0,0
yellow,13.0,-29.0,0
yellow,9.0,-30.0,0
yellow,5.0,-31.0,0
yellow,1.0,-24.0,0
yellow,3.0,-20.0,0
yellow,5.0,-16.0,0
yellow,5.0,-12.0,0
yellow,5.0,-8.0,0
yellow,3.0,-4.0,0
yellow,-3.0,5.0,0
yellow,-6.0,8.0,0
yellow,-7.0,8.0,0
yellow,-14.0,13.0,0
yellow,-15.0,13.0,0
yellow,-22.0,18.0,0
yellow,-23.0,18.0,0
yellow,-27.0,20.0,0
yellow,-33.0,25.0,0
yellow,-34.0,26.0,0
yellow,-10.0,-31.0,0
yellow,-8.0,-31.0,0
yellow,-7.0,-35.0,0
yellow,-11.0,-35.0,0
yellow,-12.0,-33.0,0
yellow,-3.0,-34.0,0
yellow,-36.0,28.0,0
midpoint,-40.5,29.0,0
midpoint,-40.0,27.0,0
midpoint,-40.0,34.0,0
midpoint,-40.0,38.0,0
midpoint,-39.5,40.0,0
midpoint,-38.0,44.0,0
midpoint,-35.5,47.5,0
midpoint,-30.0,53.0,0
midpoint,-28.0,53.5,0
midpoint,-23.0,54.0,0
midpoint,-19.0,54.0,0
midpoint,-17.0,53.5,0
midpoint,-9.0,48.5,0
midpoint,-8.5,48.5,0
midpoint,-4.5,45.5,0
midpoint,-1.5,42.5,0
midpoint,2.5,39.5,0
midpoint,6.5,36.5,0
midpoint,9.5,33.5,0
midpoint,13.5,30.5,0
midpoint,18.5,26.5,0
midpoint,20.5,25.5,0
midpoint,25.0,24.0,0
midpoint,31.0,24.5,0
midpoint,37.5,28.0,0
midpoint,38.5,27.5,0
midpoint,39.5,29.5,0
midpoint,43.0,35.0,0
midpoint,45.0,40.0,0
midpoint,50.0,45.0,0
midpoint,53.0,46.0,0
midpoint,57.0,46.0,0
midpoint,61.0,46.0,0
midpoint,65.0,46.0,0
midpoint,67.0,45.5,0
midpoint,73.0,45.0,0
midpoint,77.0,45.0,0
midpoint,79.0,44.5,0
midpoint,83.0,43.5,0
midpoint,91.0,40.0,0
midpoint,92.0,39.0,0
midpoint,96.0,35.0,0
midpoint,96.5,33.0,0
midpoint,97.0,28.0,0
midpoint,97.0,24.0,0
midpoint,95.5,19.5,0
midpoint,93.5,14.5,0
midpoint,91.5,9.5,0
midpoint,89.5,4.5,0
midpoint,87.5,-0.5,0
midpoint,87.0,-1.5,0
midpoint,84.5,-8.5,0
midpoint,82.5,-13.5,0
midpoint,80.5,-18.5,0
midpoint,79.5,-20.5,0
midpoint,74.5,-29.5,0
midpoint,71.0,-31.5,0
midpoint,67.0,-32.5,0
midpoint,65.0,-33.0,0
midpoint,61.0,-33.0,0
midpoint,57.0,-33.0,0
midpoint,55.0,-32.5,0
midpoint,49.0,-32.0,0
midpoint,45.0,-32.0,0
midpoint,38.5,-33.0,0
midpoint,36.5,-33.0,0
midpoint,32.5,-32.5,0
midpoint,25.0,-31.0,0
midpoint,19.0,-31.5,0
midpoint,15.0,-33.0,0
midpoint,14.5,-33.0,0
midpoint,11.0,-34.5,0
midpoint,7.0,-35.5,0
midpoint,5.0,-36.0,0
midpoint,0.5,-37.5,0
midpoint,-5.0,-39.5,0
midpoint,-7.0,-40.0,0
midpoint,-11.0,-40.0,0
midpoint,-15.5,-37.0,0
midpoint,-16.5,-34.0,0
midpoint,-16.0,-32.0,0
midpoint,-11.0,-27.0,0
midpoint,-9.5,-27.5,0
midpoint,-3.5,-22.5,0
midpoint,-3.0,-22.0,0
midpoint,-1.0,-18.0,0
midpoint,0.0,-12.0,0
midpoint,-1.0,-6.0,0
midpoint,-5.0,0.5,0
midpoint,-4.5,1.5,0
midpoint,-10.5,4.5,0
midpoint,-10.5,5.5,0
midpoint,-18.5,9.5,0
midpoint,-18.5,10.5,0
midpoint,-28.5,15.5,0
midpoint,-30.5,16.5,0
midpoint,-30.0,17.5,0
midpoint,-34.5,21.5,0
midpoint,-40.5,29.0,0
car_start,12,-34,0.766845450876
